auc,auc_normalization_denominator,auc_normalized,baf,critical,fire_duration,initial_tree_cells,max_spread_rate,param_conifer_ratio,param_f,param_height,param_humidity,param_init_tree_density,param_lightning_enabled,param_rain_enabled,param_rain_intensity,param_temperature_c,param_width,param_wind_dir,param_wind_enabled,param_wind_strength,peak_fire_fraction,peak_fire_size,run_id,scenario,seed,steps_total,steps_total_or_fire_horizon,time_to_extinguish,time_to_peak,truncated_by_max_steps
5,40464,0.00012356662712534599,0.0002965599051008304,False,3,10116,2,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.00019770660340055358,2,anchor_cool_wet-0035,anchor_cool_wet,652727864,4,4,4,1,False
1,20048,4.988028731045491e-05,9.976057462090982e-05,False,1,10024,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.976057462090982e-05,1,anchor_cool_wet-0036,anchor_cool_wet,1294585270,2,2,2,1,False
5,901926,5.5436920545588e-06,0.00019735543714229328,False,5,10134,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.867771857114664e-05,1,anchor_cool_wet-0037,anchor_cool_wet,66180795,89,89,89,84,False
2,30312,6.598046978094485e-05,9.897070467141726e-05,False,2,10104,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.897070467141726e-05,1,anchor_cool_wet-0038,anchor_cool_wet,746248853,3,3,3,1,False
5,40076,0.00012476295039425092,0.00019962072063080147,False,3,10019,2,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.00019962072063080147,2,anchor_cool_wet-0039,anchor_cool_wet,937843451,4,4,4,1,False
0,4989000,0.0,0.0,False,0,9978,0,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.0,0,anchor_cool_wet-0040,anchor_cool_wet,2110414630,500,500,500,0,False
0,5031000,0.0,0.0,False,0,10062,0,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.0,0,anchor_cool_wet-0041,anchor_cool_wet,460817075,500,500,500,0,False
1,20184,4.9544193420531116e-05,9.908838684106223e-05,False,1,10092,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.908838684106223e-05,1,anchor_cool_wet-0042,anchor_cool_wet,593883018,2,2,2,1,False
7,50545,0.0001384904540508458,0.0002967652586803838,False,4,10109,2,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.0002967652586803838,3,anchor_cool_wet-0043,anchor_cool_wet,877308581,5,5,5,2,False
26,90666,0.00028676681446187103,0.0010919197935278936,False,8,10074,3,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.0006948580504268413,7,anchor_cool_wet-0044,anchor_cool_wet,2131733183,9,9,9,5,False
7,39984,0.00017507002801120448,0.00030012004801920766,False,3,9996,2,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.00030012004801920766,3,anchor_cool_wet-0045,anchor_cool_wet,1832669143,4,4,4,2,False
12,60876,0.00019712201852946975,0.0004928050463236743,False,5,10146,2,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.00029568302779420464,3,anchor_cool_wet-0046,anchor_cool_wet,74502574,6,6,6,3,False
7,49895,0.00014029461869926848,0.0003006313257841467,False,4,9979,2,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.0002004208838560978,2,anchor_cool_wet-0047,anchor_cool_wet,502381220,5,5,5,1,False
1,20076,4.981071926678621e-05,9.962143853357243e-05,False,1,10038,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.962143853357243e-05,1,anchor_cool_wet-0048,anchor_cool_wet,1764532444,2,2,2,1,False
0,5022000,0.0,0.0,False,0,10044,0,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.0,0,anchor_cool_wet-0049,anchor_cool_wet,125204183,500,500,500,0,False
1,20146,4.963764519011218e-05,9.927529038022436e-05,False,1,10073,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.927529038022436e-05,1,anchor_cool_wet-0050,anchor_cool_wet,1837539164,2,2,2,1,False
3,872175,3.439676670392983e-06,9.975062344139652e-05,False,3,10025,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.975062344139652e-05,1,anchor_cool_wet-0051,anchor_cool_wet,604267306,87,87,87,84,False
7,60150,0.00011637572734829593,0.0002992518703241895,False,5,10025,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.00019950124688279303,2,anchor_cool_wet-0052,anchor_cool_wet,1970642945,6,6,6,2,False
2,30135,6.63680106188817e-05,9.955201592832254e-05,False,2,10045,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.955201592832254e-05,1,anchor_cool_wet-0053,anchor_cool_wet,630487793,3,3,3,1,False
2,3767520,5.308531872425362e-07,9.98003992015968e-05,False,2,10020,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.98003992015968e-05,1,anchor_cool_wet-0054,anchor_cool_wet,932688237,376,376,376,374,False
2,30021,6.662003264381599e-05,9.9930048965724e-05,False,2,10007,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.9930048965724e-05,1,anchor_cool_wet-0055,anchor_cool_wet,1421454890,3,3,3,1,False
0,5051000,0.0,0.0,False,0,10102,0,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.0,0,anchor_cool_wet-0056,anchor_cool_wet,271185813,500,500,500,0,False
11,70420,0.0001562056234024425,0.0004970178926441351,False,6,10060,2,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.00019880715705765408,2,anchor_cool_wet-0057,anchor_cool_wet,1196217437,7,7,7,1,False
1,20114,4.971661529283086e-05,9.943323058566172e-05,False,1,10057,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.943323058566172e-05,1,anchor_cool_wet-0058,anchor_cool_wet,1084512517,2,2,2,1,False
2,30183,6.626246562634596e-05,9.939369843951894e-05,False,2,10061,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.939369843951894e-05,1,anchor_cool_wet-0059,anchor_cool_wet,1683408584,3,3,3,1,False
9,81288,0.00011071744906997343,0.0003936620411376833,False,7,10161,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.00019683102056884165,2,anchor_cool_wet-0060,anchor_cool_wet,2139123293,8,8,8,4,False
12,60372,0.00019876764062810574,0.0004969191015702643,False,5,10062,2,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.0002981514609421586,3,anchor_cool_wet-0061,anchor_cool_wet,1426602463,6,6,6,2,False
6,50330,0.00011921319292668389,0.00029803298231670974,False,4,10066,2,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.00019868865487780648,2,anchor_cool_wet-0062,anchor_cool_wet,878721193,5,5,5,1,False
1,20344,4.915454187966968e-05,9.830908375933936e-05,False,1,10172,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.830908375933936e-05,1,anchor_cool_wet-0063,anchor_cool_wet,872709139,2,2,2,1,False
0,5016000,0.0,0.0,False,0,10032,0,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.0,0,anchor_cool_wet-0064,anchor_cool_wet,897559571,500,500,500,0,False
