auc,auc_normalization_denominator,auc_normalized,baf,critical,fire_duration,initial_tree_cells,max_spread_rate,param_conifer_ratio,param_f,param_flamm_conif,param_flamm_decid,param_height,param_humidity,param_init_tree_density,param_lightning_enabled,param_rain_enabled,param_rain_intensity,param_temperature_c,param_width,param_wind_dir,param_wind_enabled,param_wind_strength,peak_fire_fraction,peak_fire_size,run_id,scenario,seed,steps_total,steps_total_or_fire_horizon,time_to_extinguish,time_to_peak,truncated_by_max_steps
2,30165,6.630200563567048e-05,9.945300845350572e-05,False,2,10055,1,0.5,0.01,,,120,0.8,0.7,True,True,0.7,12.0,120,E,False,0.2,9.945300845350572e-05,1,extreme_wet_cool-0005,extreme_wet_cool,94067870,3,3,3,1,False
1,19952,5.012028869286287e-05,0.00010024057738572574,False,1,9976,1,0.5,0.01,,,120,0.8,0.7,True,True,0.7,12.0,120,E,False,0.2,0.00010024057738572574,1,extreme_wet_cool-0006,extreme_wet_cool,1173749071,2,2,2,1,False
1,20278,4.931452805996646e-05,9.862905611993293e-05,False,1,10139,1,0.5,0.01,,,120,0.8,0.7,True,True,0.7,12.0,120,E,False,0.2,9.862905611993293e-05,1,extreme_wet_cool-0007,extreme_wet_cool,331334160,2,2,2,1,False
28,4469020,6.265355715570752e-06,0.0009823182711198428,False,7,10180,4,0.5,0.01,,,120,0.8,0.7,True,True,0.7,12.0,120,E,False,0.2,0.00068762278978389,7,extreme_wet_cool-0008,extreme_wet_cool,1596387604,439,439,439,436,False
1,20410,4.8995590396864285e-05,9.799118079372857e-05,False,1,10205,1,0.5,0.01,,,120,0.8,0.7,True,True,0.7,12.0,120,E,False,0.2,9.799118079372857e-05,1,extreme_wet_cool-0009,extreme_wet_cool,1466836456,2,2,2,1,False
2,30477,6.562325688223906e-05,9.84348853233586e-05,False,2,10159,1,0.5,0.01,,,120,0.35,0.7,True,True,0.65,24.0,120,E,True,0.95,9.84348853233586e-05,1,windy_rain_burst-0000,windy_rain_burst,1981113449,3,3,3,1,False
2,30069,6.651368519072799e-05,9.977052778609199e-05,False,2,10023,1,0.5,0.01,,,120,0.35,0.7,True,True,0.65,24.0,120,E,True,0.95,9.977052778609199e-05,1,windy_rain_burst-0001,windy_rain_burst,1599364550,3,3,3,1,False
17,70602,0.00024078637998923544,0.000793178663493952,False,6,10086,2,0.5,0.01,,,120,0.35,0.7,True,True,0.65,24.0,120,E,True,0.95,0.00049573666468372,5,windy_rain_burst-0002,windy_rain_burst,787359109,7,7,7,4,False
25,91287,0.00027386155750544987,0.0009859016070196194,False,8,10143,3,0.5,0.01,,,120,0.35,0.7,True,True,0.65,24.0,120,E,True,0.95,0.0004929508035098097,5,windy_rain_burst-0003,windy_rain_burst,2077711328,9,9,9,4,False
3,1187788,2.5257032399721162e-06,9.934432743890324e-05,False,3,10066,1,0.5,0.01,,,120,0.35,0.7,True,True,0.65,24.0,120,E,True,0.95,9.934432743890324e-05,1,windy_rain_burst-0004,windy_rain_burst,882294416,118,118,118,115,False
1,20238,4.941199723292816e-05,9.882399446585631e-05,False,1,10119,1,0.5,0.01,,,120,0.35,0.7,True,True,0.65,24.0,120,E,True,0.95,9.882399446585631e-05,1,windy_rain_burst-0005,windy_rain_burst,699704628,2,2,2,1,False
11,50120,0.0002194732641660016,0.0004988028731045491,False,4,10024,2,0.5,0.01,,,120,0.35,0.7,True,True,0.65,24.0,120,E,True,0.95,0.0003990422984836393,4,windy_rain_burst-0006,windy_rain_burst,1944623248,5,5,5,3,False
1,20188,4.953437685753913e-05,9.906875371507826e-05,False,1,10094,1,0.5,0.01,,,120,0.35,0.7,True,True,0.65,24.0,120,E,True,0.95,9.906875371507826e-05,1,windy_rain_burst-0007,windy_rain_burst,795556160,2,2,2,1,False
2,1218591,1.6412397596896743e-06,9.92950054612253e-05,False,2,10071,1,0.5,0.01,,,120,0.35,0.7,True,True,0.65,24.0,120,E,True,0.95,9.92950054612253e-05,1,windy_rain_burst-0008,windy_rain_burst,163945743,121,121,121,119,False
4,40292,9.927529038022436e-05,0.0001985505807604487,False,3,10073,2,0.5,0.01,,,120,0.35,0.7,True,True,0.65,24.0,120,E,True,0.95,0.0001985505807604487,2,windy_rain_burst-0009,windy_rain_burst,1008363426,4,4,4,1,False
