auc,auc_normalization_denominator,auc_normalized,baf,burned_components,critical,fire_duration,ignition_succeeded,initial_tree_cells,largest_cluster_share,max_spread_rate,no_ignition,param_conifer_ratio,param_f,param_flamm_conif,param_flamm_decid,param_height,param_humidity,param_init_tree_density,param_lightning_enabled,param_rain_enabled,param_rain_intensity,param_temperature_c,param_width,param_wind_dir,param_wind_enabled,param_wind_strength,peak_fire_fraction,peak_fire_size,run_id,scenario,seed,shape_complexity,steps_total,steps_total_or_fire_horizon,time_to_extinguish,time_to_peak,truncated_by_max_steps
29540,1356872,0.021770660755030688,0.9869700310714644,1,True,135,True,9977,1.0,43,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.06073970131301994,606,dry_windy-0095,dry_windy,188226767,1.2482989743068955,136,136,136,57,False
29852,1464790,0.02037971313294056,0.9850524648584439,1,True,144,True,10102,1.0,41,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05038606216590774,509,dry_windy-0096,dry_windy,735708085,1.2149532710280373,145,145,145,49,False
30131,1306496,0.023062451014009992,0.9840305672577643,1,True,127,True,10207,1.0,47,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.06260409522876458,639,dry_windy-0097,dry_windy,253415744,1.183193946634807,128,128,128,57,False
30065,1264375,0.02377854671280277,0.9908057340583292,1,True,124,True,10115,1.0,48,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.07226890756302522,731,dry_windy-0098,dry_windy,727876280,1.221313111155458,125,125,125,55,False
29957,1363770,0.02196631396789781,0.9885171253217184,1,True,134,True,10102,1.0,34,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.051573945753316176,521,dry_windy-0099,dry_windy,2065659504,1.2122972161025436,135,135,135,51,False
15,90189,0.00016631740012640122,0.0006985330805308851,1,False,8,True,10021,1.0,2,False,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,0.0002993713202275222,3,wet_cool-0000,wet_cool,786544956,2.2857142857142856,9,9,9,3,False
50,149685,0.0003340348064268297,0.002004208838560978,1,False,14,True,9979,1.0,2,False,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,0.0005010522096402445,5,wet_cool-0001,wet_cool,1951162175,2.0,15,15,15,4,False
1,20312,4.923198109491926e-05,9.846396218983852e-05,1,False,1,True,10156,1.0,1,False,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,9.846396218983852e-05,1,wet_cool-0002,wet_cool,1063145406,4.0,2,2,2,1,False
703,646720,0.0010870237506185056,0.026719445818901535,1,False,63,True,10105,1.0,8,False,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,0.002474022761009401,25,wet_cool-0003,wet_cool,1502609627,1.362962962962963,64,64,64,49,False
36,151185,0.0002381188609981149,0.0013890266891556703,1,False,14,True,10079,1.0,2,False,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,0.0003968647683301915,4,wet_cool-0004,wet_cool,982296571,2.5714285714285716,15,15,15,10,False
116,283192,0.000409616090850024,0.004350405378683014,1,False,27,True,10114,1.0,4,False,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,0.0009887284951552303,10,wet_cool-0005,wet_cool,570951394,2.0,28,28,28,14,False
2,30126,6.638783774812455e-05,9.958175662218681e-05,1,False,2,True,10042,1.0,1,False,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,9.958175662218681e-05,1,wet_cool-0006,wet_cool,1641170252,4.0,3,3,3,1,False
4,29796,0.00013424620754463686,0.0002013693113169553,1,False,2,True,9932,1.0,2,False,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,0.0002013693113169553,2,wet_cool-0007,wet_cool,2081290421,4.0,3,3,3,1,False
22,89919,0.00024466464262280497,0.000900810729656691,1,False,8,True,9991,1.0,2,False,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,0.0004003603242918627,4,wet_cool-0008,wet_cool,565915328,2.4444444444444446,9,9,9,3,False
26,80312,0.00032373742404621974,0.0010957266660025899,1,False,7,True,10039,1.0,3,False,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,0.0005976690905468672,6,wet_cool-0009,wet_cool,1672354831,2.0,8,8,8,2,False
19,60678,0.00031312831668809125,0.0006921783842578859,1,False,5,True,10113,1.0,4,False,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,0.0005932957579353308,6,wet_cool-0010,wet_cool,560793881,2.0,6,6,6,2,False
878,607740,0.0014446967453187218,0.03307335373679534,1,False,59,True,10129,1.0,7,False,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,0.003159245730081943,32,wet_cool-0011,wet_cool,1539509957,1.4328358208955223,60,60,60,21,False
31,120900,0.0002564102564102564,0.0012903225806451613,2,False,11,True,10075,0.9230769230769231,2,False,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,0.0003970223325062035,4,wet_cool-0012,wet_cool,1694378689,2.3076923076923075,12,12,12,10,False
115,232047,0.000495589255624938,0.004361185449499455,1,False,22,True,10089,1.0,3,False,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,0.0007929428089999009,8,wet_cool-0013,wet_cool,964996477,1.9545454545454546,23,23,23,5,False
